Titol,Anarquia y lucha antipolítica,Manual de prácticas del autobús,Muerte de la democracia,Biblioteca de mi casa,Biblioteca de casa meva,"La terra dona, la terra vol",50+1 Blues Llum Ombra,Plaga,Descontentos en la cultura,The incomplete lexicon of art,Nada sino diseño,Louise Bourgeois y modos feministas de crear,Exiliados del tiempo lento,物博士预言的末日,Roube o livro enquanto o sol está nascendo no horizonte,De la subcontratar,RES01 - res_és_nostre,Les Jardins et la Nuit ,Os Jardins e a Noite
Autor,Acácio Augusto,Gabriel Weber,"Franco ""Bifo"" Berardi, Lior Zalis, Diego Posada","Walter Benjamin, Nathanael Araujo","Walter Benjamin, Nathanael Araujo",Antonio Nêgo Bispo,Enric Puyoles,Grupo de Investigación Ecologías Culturales PEI,Sarah Wood,Lucas Kröeff,Luis Alegre,Gabriela Barzaghi De Laurentiis,Vivian Abenshushan,Fabio Zimbres,David Horvitz,Nick Thurston,modular_juns,Vicente Franz Cecim,Vicente Franz Cecim
Tipus,Libro de bolsillo,Llibre,Libro de bolsillo,Llibre,Llibre,Llibre,Llibre,Llibre,Llibre,Llibre,Llibre,Llibre,Llibre,Comic,Llibre,,Llibre,Llibre,Llibre
Any,2019,2024,2021,2023,2023,2025,2024,2021,2022,2020,2022,2020,2024,2019,2019,2019,2023,2019,2019
Format,12 × 18 cm,17 x 24 cm,14 x 22 cm,24 x 17 cm,25 x 17 cm,15 x 21 cm,14 x 22 cm,15 x 21 cm,15 x 21 cm,14 x 22 cm,"10,5 x 17 cm",15 x 21 cm,19 x 12 m,15 x 21 cm,15 x 10 cm,20 x 13 cm,15 x 21 cm,30 x 21 cm,30 x 21 cm
Pàgines,64,120,76,64,64,98,260,98,80,,320,184,188,24,48,145,48,158,158
ISBN,978-85-53109-18-0,120978-84-126845-4-4,978-85-5109-21-0,978-84-126845-2-0,978-84-126845-2-1,978-84-126845-5-1,978-85-53109-26-5,fake-001,978-85-53109-17-3,978-85-53109-23-4,978-85-53109-24-1,978-84-126845-1-3,978-84-126845-3-7,978-85-53109-16-6,978-3-945900-28-4,978-8-412684-50-6,978-85-53109-25-8,fake-002,fake-002
Disseny de coberta,Felipe de Leonardo,Bia Bittencourt,Mantraste,Bia Bittencourt,Bia Bittencourt,Estúdio Casa Rex,Bia Bittencourt,Estudio Ara,Bia Bittencourt,Lucas Kröeff,Sara Farias,Lucas Kröeff,Bia Bittencourt,Bia Bittencourt,Edition Taube,Bia Bittencourt,Bia Bittencourt,Lucas Kröeff,Lucas Kröeff
Edició,Bia Bittencourt,Bia Bittencourt,"Bia Bittencourt, Laura Del Vecchio",Bia Bittencourt,Bia Bittencourt,Bia Bittencourt,Jordi Puyoles Calafell,Macba,Bia Bittencourt,Lucas Kröeff,Diogo Montenegro,Bia Bittencourt,Bia Bittencourt,Bia Bittencourt,,,No Libos + Hivern Discs,Bia Bittencourt,Bia Bittencourt
Traducció,John O'Kuinghttons,John O'Kuinghttons,John O'Kuinghttons,Bia Bittencourt,Jordi Puyoles Calafell,Jèssica Cañagueral Pallarés,,,John O'Kuinghttons,,John O'Kuinghttons,John O'Kuinghttons,,Yaya Liu,Bia Bittencourt,Google Translator,,,
Imprès a,"Podiprint, Màlaga","Podiprint, Màlaga","Podiprint, Màlaga","Podiprint, Màlaga","Podiprint, Màlaga","Podiprint, Màlaga","Podiprint, Màlaga",Barcelona,"Podiprint, Màlaga","Podiprint, Màlaga",MB&F,"Podiprint, Màlaga","Podiprint, Màlaga",La Escocesa,,"Podiprint, Màlaga",Do the print,"Podiprint, Màlaga","Podiprint, Màlaga"
Tècnica d’impressió,Impresión Digital,Impresión Digital,Impresión Digital,Impresión Digital,Impresión Digital,Impresión Digital,Impresión Digital,Impresión Digital,Impresión Digital,Impresión Digital,Offset,Impresión Digital,Impresión Digital,Risograph,Offset,Impresión Digital,Risograph,Impressió digital,Impresión Digital
Més info,https://www.nolibros.org/product/anarquia-y-lucha-antipolitica/10?cs=true&cst=custom,https://www.nolibros.org/product/manual-de-pr-cticas-del-autob-s-474-jacar-copacabana/16?cs=true&cst=custom,https://www.nolibros.org/product/muerte-de-la-democracia/9?cs=true&cst=custom,https://www.nolibros.org/product/biblioteca-de-mi-casa/3?cs=true&cst=custom,https://www.nolibros.org/product/biblioteca-de-mi-casa/3?cs=true&cst=custo,https://www.nolibros.org/product/la-terra-dona-la-terra-vol-antonio-nego-bispo/18?cs=true&cst=custom,,https://www.macba.cat/es/exposiciones/plaga-2/,https://www.nolibros.org/product/descontentos-en-la-cultura/5?cs=true&cst=custom,https://www.nolibros.org/product/incomplete-lexicon-of-art/8?cs=true&cst=custom,https://www.nolibros.org/product/nada-sino-diseno/6?cs=true&cst=custom,https://www.nolibros.org/product/louise-bourgeois-y-modos-feministas-de-crear/7?cs=true&cst=custom,https://www.nolibros.org/product/exiliados-del-tiempo-lento/1?cs=true&cst=custom,,https://www.nolibros.org/product/roube-o-livro/11?cs=true&cst=custom,https://www.nolibros.org/product/de-la-subcontratar/4?si=true,https://www.nolibros.org/product/res01-res-s-nostre-modular-juns/17?cs=true&cst=custom,https://www.nolibros.org/product/les-jardins-et-la-nuit/14?cs=true&cst=custom,https://www.nolibros.org/product/les-jardins-et-la-nuit/14?cs=true&cst=custom
